Time,PtfmTDX_Floater,PtfmTDY_Floater,PtfmTDZ_Floater,PtfmRDX_Floater,PtfmRDY_Floater,PtfmRDZ_Floater,Vx_Floater_local,Vy_Floater_local,Vz_Floater_local,Wx_Floater,Wy_Floater,Wz_Floater
1174.5,25.847053048574573,-44.61914489763253,15.431284615746264,0.2604515850543976,-1.4912090301513672,-0.15315179526805878,-0.07670829190718136,-0.06492323216519474,0.3064255864598749,0.01918776147067547,-0.07889777421951295,-0.14440384507179263
1174.75,25.830555647957624,-44.63699549352514,15.50979574073408,0.2632240355014801,-1.5111631155014038,-0.18743427097797397,-0.05530177964649491,-0.07787744762816967,0.32176088018321514,-0.004236147738993168,-0.08201377838850021,-0.12907090783119202
1175.0,25.819896632940765,-44.65788522265666,15.591291476864827,0.26000526547431946,-1.531691551208496,-0.21708917617797852,-0.029996968397742702,-0.08925073242860022,0.33028981499623844,-0.027849432080984116,-0.0833098441362381,-0.10738024860620499
1175.25,25.815904834571562,-44.68127090550168,15.674117178817436,0.2506970763206482,-1.5523449182510376,-0.24059005081653598,-0.001957554335454156,-0.09785992639575672,0.33238629341030385,-0.05170358344912529,-0.08275885134935379,-0.07987086474895477
1175.5,25.819084964371054,-44.70632821281843,15.756686416536315,0.23522962629795074,-1.5726321935653687,-0.25660407543182373,0.027383236087765262,-0.102636066870568,0.3282280204508777,-0.07554946839809418,-0.08008966594934464,-0.04755379259586334
1175.75,25.829568998582157,-44.73201439303065,15.837417209244157,0.21366436779499054,-1.591971516609192,-0.26409927010536194,0.05647764011843411,-0.10289817817362833,0.31767302802155384,-0.09864436089992523,-0.07487668842077255,-0.011823134496808052
1176.0,25.847103599570204,-44.75718581439509,15.914660676034707,0.1863192766904831,-1.6096729040145874,-0.2624247372150421,0.08379141234918201,-0.09851943519181044,0.30032832776244084,-0.11975701153278351,-0.06672191619873047,0.025672733783721924
1176.25,25.871064491713902,-44.7807392713871,15.986667180973175,0.1538681983947754,-1.6249719858169556,-0.25135719776153564,0.10789156837691487,-0.08994926260400453,0.27578084589273105,-0.13737039268016815,-0.05546396970748902,0.0631730929017067
1176.5,25.90049104351117,-44.80174073439591,16.051619801375963,0.11737151443958284,-1.6371098756790161,-0.23111081123352054,0.12752111605510077,-0.07809370691288049,0.24390231832731485,-0.15001507103443146,-0.04133450239896774,0.09895668178796768
1176.75,25.93414016976972,-44.8195143208389,16.107738290788017,0.07822064310312273,-1.6454386711120605,-0.20231027901172638,0.14167820370382947,-0.0641128209674417,0.20511310035616137,-0.1566210836172104,-0.0250008013099432,0.13148067891597748
1177.0,25.970560553720688,-44.83368018892348,16.153431944620475,0.03800505772233009,-1.649520993232727,-0.16593404114246368,0.14969764143153316,-0.04921719887804227,0.16050744241622492,-0.15677139163017273,-0.007475628983229398,0.1594763547182083
1177.25,26.00818643932719,-44.844146206853274,16.1874645101058,-0.001666294410824776,-1.649195671081543,-0.12323764711618423,0.1513349935473049,-0.034514818513587654,0.11179840560092283,-0.1507854014635086,0.010076799429953098,0.18200428783893585
1177.5,26.045452266765853,-44.85107682131652,16.209076924732813,-0.03933308646082879,-1.644585371017456,-0.07566864043474197,0.14680580148615696,-0.02089058574475131,0.061196968281885825,-0.13967739045619965,0.026538008823990822,0.1984722912311554
1177.75,26.080903598603946,-44.854821691412056,16.21809633634459,-0.07384861260652542,-1.6360701322555544,-0.024779394268989563,0.13682728385912785,-0.009034430119670015,0.011020409269071168,-0.12483919411897659,0.04107051342725754,0.2086184024810791
1178.0,26.11333797312146,-44.85591072123442,16.214847290790626,-0.10437984764575958,-1.6241734027862549,0.027850698679685593,0.12266426398684124,0.0003666425973922961,-0.03695198699843756,-0.10748659819364548,0.05334659665822983,0.21247924864292145
1178.25,26.141905485792922,-44.85499285901791,16.200054489531418,-0.1304122805595398,-1.6094447374343872,0.08069052547216415,0.10582989123976524,0.0068307960819878775,-0.08135609271243213,-0.0886768102645874,0.06332694739103317,0.21034462749958038
1178.5,26.166089575363316,-44.85288507705191,16.17474626705298,-0.15157298743724823,-1.5925453901290894,0.13228020071983337,0.08770654994797786,0.010270666639627505,-0.12105077569221058,-0.06935717910528183,0.07099304348230362,0.2026602029800415
