Time,telescoping,luffing,slewing,telescoping_vel,luffing_vel,slewing_vel
1282.75,0.17559016488965185,4.235269232665807,0.10936215779038284,-0.23500967527063074,-0.1654793795915861,0.47608114173870186
1283.0,0.12132500474812247,4.177782283753516,0.2231865341909255,-0.1991307518509423,-0.2948600418618703,0.4325564600327585
1283.25,0.07629127354301701,4.087839211734872,0.3256403878067621,-0.1611251786223582,-0.42394178063132415,0.38635748998237485
1283.5,0.04095132571821125,3.9658113934378543,0.4163652791821129,-0.12158728553180709,-0.5503661082980651,0.3394371973629273
1283.75,0.015599452793654933,3.8126561575858395,0.49535898648822574,-0.0811796962801364,-0.6717740168638624,0.2927117973406196
1284.0,0.0003607689817464177,3.629924385005923,0.5627211778524227,-0.04064242280806594,-0.7856485277037599,0.24622199038261416
1284.25,-0.004827418404083517,3.4198318937339596,0.6184699816795328,-0.0007988191512104219,-0.8891484065735655,0.19962587034713408
1284.5,-0.0002544019468828651,3.1853501817191403,0.6625341130259897,0.03746787868315928,-0.9790540790295417,0.1525590142688018
1284.75,0.013593331441565937,2.9303048542191887,0.6947494888139337,0.07335224682669914,-1.0517483437588035,0.10497833333396844
1285.0,0.0360361852231712,2.6594760098397385,0.715023279692974,0.10623553910604638,-1.1034190694239836,0.057567093236958744
1285.25,0.06628944011070104,2.378595319507197,0.7235330354324131,0.13574147318106478,-1.130506936527767,0.011860490308446714
1285.5,0.10348861410772514,2.094222541575855,0.7209535248471973,0.16176011082452774,-1.1302435195440568,-0.029940492021799825
1285.75,0.14677991589607942,1.8134735597351685,0.7085627894215132,0.18440800413219535,-1.1011597290080584,-0.06517070707421624
1286.0,0.19534393194798483,1.543642677071826,0.6883681713100892,0.20393437845690987,-1.043428237331729,-0.09111303987048336
1286.25,0.24843142132558071,1.291759441069304,0.6630062694862715,0.22059791181707214,-0.9589568646791502,-0.10557436900897588
1286.5,0.3053403784268589,1.0641642447322508,0.6355809868056013,0.23455106762056105,-0.8511770315686529,-0.1073591632323907
1286.75,0.36538583317025797,0.8661709252849776,0.6093266878700762,0.2457413439280223,-0.7246180684961079,-0.09672833669225489
1287.0,0.42783576209153296,0.7018552104841969,0.5872168184594738,0.2538476631807225,-0.5843910602739495,-0.07562109025139896
1287.25,0.4918503277286952,0.5739753951480029,0.5715161427443767,0.25827939166081454,-0.43572350679841954,-0.04772473621766671
1287.5,0.5564140749679005,0.4839934570849871,0.5633544503506405,0.2582471923118153,-0.28350716401928644,-0.018028542247846335
1287.75,0.6203266432229633,0.43222181313835967,0.5625018716204535,0.2528805379943388,-0.13277557287156727,0.007190678035316811
1288.0,0.6820961190261556,0.41760567064920345,0.5669497893682989,0.24140280132072653,0.01252477372131211,0.02257428241814008
1288.25,0.7402028609894664,0.4384841999990157,0.5737890128295235,0.22330960260381752,0.1489097284268649,0.023988063347714084
1288.5,0.7929413046862379,0.4920605348626359,0.5789438210421559,0.19844190677890688,0.27273710647008154,0.0087481921291086
1288.75,0.8386426652709567,0.5748527532340565,0.5781631088940778,0.16699236570296966,0.3814627564252311,-0.022594852004189647
1289.0,0.8757278454953088,0.6827919130752514,0.5676463950400611,0.12952284581546636,0.4731742047268719,-0.06699884576616011
1289.25,0.9028031725820895,0.8114398555974924,0.5446636860109978,0.08691760785680827,0.5468893773350068,-0.11919672973273632
1289.5,0.9187212774555746,0.9562366017427548,0.5080480301736929,0.040313351231648004,0.6026123441292537,-0.17254071046053465
1289.75,0.9226452645430108,1.1127460276621193,0.45839333078073047,-0.00895763755140256,0.6412260460261714,-0.22020873982174227
1290.0,0.9140456390817384,1.2768496247558405,0.3979436602628218,-0.05944601759250733,0.6642401321398181,-0.25527705922824917
1290.25,0.8929085178834058,1.4448660937320283,0.3307548011666059,-0.10968209091799722,0.6734008312385429,-0.27262790382232305
1290.5,0.8594176671514511,1.613550040375112,0.2616297083516603,-0.15825264671221217,0.6702516474605553,-0.2694035004869634
1290.75,0.8141546101033441,1.779991917462306,0.1960530509231242,-0.20385773757654074,0.6559729741309202,-0.24406735983561995
1291.0,0.758034787375351,1.941536527440572,0.1395960284338503,-0.2453485643399513,0.6309364562653039,-0.19749877501845456
1291.25,0.6921457167745935,2.095460145594958,0.09730366341389692,-0.28173282157521423,0.5953374163194893,-0.13250489798109763
1291.5,0.6179085911212283,2.2392052356003167,0.07334357944330148,-0.31216062233999986,0.5495849630767982,-0.05359643593881838
1291.75,0.5369003793044733,2.370252627133357,0.07050544544448772,-0.33592123418675573,0.49420037201820044,0.033241630539044664
1292.0,0.4508583694545756,2.486305421609417,0.08996439471282382,-0.352460527245271,0.4304739577836827,0.12122431259242655
1292.25,0.36163140313533404,2.5854896060251984,0.131117601740701,-0.36142690234310476,0.3603524704098833,0.2036698974240204
1292.5,0.2711338201457849,2.6664816568143586,0.191799343424834,-0.3627260125288107,0.2871671689629096,0.2740359770245629
1292.75,0.18123649030918187,2.729073190506653,0.26813559025298245,-0.35656959763323165,0.2144901145439322,0.32746931792919576
1293.0,0.09374240753347252,2.7737267140863247,0.3555340023894319,-0.34348981638226966,0.14587045163550982,0.3613247999537268
1293.25,0.010278242454184294,2.802008416324408,0.44879799022984584,-0.324294899113778,0.08542271362619136,0.374266831432132
1293.5,-0.06774758704772665,2.8164380708994203,0.5426674181054979,-0.29998634893495574,0.03667222742368459,0.36677634024540684
1293.75,-0.1392253555071079,2.8203445300362504,0.6321861603525493,-0.271661814868524,0.0020896782445367634,0.3411269274296498
1294.0,-0.2032403237485063,2.8174829100216887,0.7132308818203228,-0.24043263618375407,-0.017147765377334423,0.30037394131340633
1294.25,-0.2592202571543609,2.811770647347583,0.7823731310092524,-0.20736098746141216,-0.021574058472538127,0.24807986239840973
1294.5,-0.3068170781619095,2.8066958807854197,0.8372708130195277,-0.17339653651769335,-0.013792188134844174,0.18856816783420505
1294.75,-0.34590783646398293,2.804874553280161,0.876657214926355,-0.13931268173250816,0.0019109541258393037,0.12618227190680376
1295.0,-0.37652322963776896,2.8076513578483393,0.9003619489729295,-0.10564960265516908,0.01998946335986318,0.06506082983361305
1295.25,-0.3988117737136747,2.8148692849600927,0.9091876298431615,-0.07267844092738909,0.034330195105787276,0.00879253961913351
1295.5,-0.41293673914654505,2.824816455401233,0.9047582187824963,-0.04036221364771731,0.03908427357460198,-0.03997774889154759
1295.75,-0.41902690787533103,2.8344114217473937,0.8891987553973877,-0.008399189578672714,0.02930030210657364,-0.07978508954419183
1296.0,-0.41712493880354273,2.8394666064545198,0.8648656740104004,0.023612276170937682,0.0013638714739432345,-0.11028096434762569
1296.25,-0.40716888718155175,2.8350933574843653,0.8340582732235748,0.056050936806739546,-0.046404747067100516,-0.13216837554895466
1296.5,-0.38902766599156635,2.8162642329209695,0.798781486235923,0.08908879435054987,-0.11362472251462385,-0.14679464058868263
1296.75,-0.3625958639233531,2.7782809962270534,0.7606609529292335,0.1224313860017457,-0.19800190651606808,-0.15551787688434637
1297.0,-0.3278804120185228,2.7172632796629355,0.7210225477937499,0.15531908822645218,-0.2952456356139006,-0.15938729505303573
1297.25,-0.2851402611817875,2.630658178420103,0.6809673054027157,0.18662524170192987,-0.39922799611340043,-0.15886087967603912
1297.5,-0.23494372844878697,2.5176492816062352,0.6415921079557303,0.21496443637563156,-0.5024469348897718,-0.15363008530824374
1297.75,-0.17820006625562357,2.379434710975217,0.6041522627485938,0.238978306099904,-0.5965063201024332,-0.1427777092835929
1298.0,-0.11612430886830793,2.2193961215550186,0.5702032533139338,0.25758430959214984,-0.6727550575657197,-0.12503693780451286
1298.25,-0.05015309195891504,2.0430571821923573,0.5416337938463374,0.27010699230221175,-0.7231727247108966,-0.09917474957419725
1298.5,0.018157254104021803,1.8578097591995704,0.5206158785268352,0.27631517617981016,-0.7412678852473511,-0.06432727693033113
1298.75,0.08724642554656015,1.6724232395686818,0.5094701553811718,0.2763491568956654,-0.7228343043198713,-0.020157089522160554
1299.0,0.15560949549848502,1.4963926070396347,0.5105373337657549,0.27059170656527465,-0.6664804579721384,0.03212586918264182
1299.25,0.2218718505816497,1.3391830105826126,0.5255330899724927,0.259527298142117,-0.5738431115900569,0.09045617895850655
1299.5,0.2847683359746789,1.2094710512446063,0.5557654232450082,0.243648949138049,-0.4493165836623101,0.15199340456534483
1299.75,0.34314711482534577,1.1145247187514575,0.6015297922551651,0.22340711035122432,-0.2995301421287362,0.21229787623536067
1300.0,0.3959707393155476,1.0597059801802382,0.6619143613626886,0.19918727579192386,-0.13264348929869163,0.2663371601127482
1300.25,0.4422815275568368,1.0482029741021117,0.7346983723115392,0.1713061813642718,0.04251491647829475,0.30883609577269744
1300.5,0.481195109550157,1.0809634384193856,0.8163324092490373,0.14000378467782415,0.21723314915723524,0.3348518209580926
1300.75,0.5118706963316519,1.1568195486807293,0.9021242827905855,0.1054224811435957,0.38354245534337394,0.3404834400361805
1301.0,0.533509235111854,1.2727346660910726,0.9865741292671275,0.06760083225674222,0.5348764409090307,0.32338961805026356
1301.25,0.5452839016300857,1.4242577691352447,1.0638190918157173,0.02651513494025049,0.6661460670968937,0.2831906508454973
1301.5,0.5463841420347748,1.6058076996395194,1.1281694546898762,-0.01781987421548245,0.7738595728713786,0.2218103853314619
1301.75,0.5360134274741419,1.811187555570934,1.1747242844814483,-0.06520636375733575,0.8562234002008986,0.14349528668436484
1302.0,0.5134772243758228,2.0339193997399687,1.1999170980320586,-0.11514781737586874,0.9126326670696701,0.05438550143229737
1302.25,0.478233609235037,2.267503889105769,1.201917035197597,-0.16680756571058328,0.9432505155526814,-0.038088022351442596
1302.5,0.43000158279887657,2.5055446575163094,1.1808730868563373,-0.21904132163632908,0.9485031144017038,-0.12591212611448732
1302.75,0.36880669637215036,2.741755446306621,1.1389609721403533,-0.27049472218298387,0.9286804470436785,-0.20129762780035998
1303.0,0.29502919940774675,2.9698848810381486,1.0802242729561573,-0.3197063988016443,0.8837574277940554,-0.2576460433596375
1303.25,0.20941682099368109,3.1836341602036486,1.0101379504605346,-0.3652010739426239,0.8134695805408487,-0.29020751378844944
